Date,Actual_Sales,Predicted_Sales,Lower_Bound,Upper_Bound
2009-01-31,516302.9595,427736.0754621341,370380.54515676835,490631.25773975434
2009-02-28,332480.6365,297980.1388695195,234707.76491796682,358101.9008423867
2009-03-31,411628.729,338400.1248796885,271348.0743638341,396244.3350880899
2009-04-30,393276.482,309815.8742025013,242835.56975786856,367011.1714393412
2009-05-31,230145.538,309338.9569261161,249864.22545745407,366121.2215472897
2009-06-30,263456.06799999997,273562.4920298523,216932.06658128838,330890.3784883883
2009-07-31,380503.97,294952.02602018294,232060.6636785874,354884.1311816578
2009-08-31,329754.715,300320.3711497205,238469.31455390572,362517.8135775898
2009-09-30,325292.3145,349280.71482633834,288123.6240326831,409527.9127683899
2009-10-31,361555.2665,366495.0274104342,305332.938165779,425776.3528368596
2009-11-30,248933.426,285381.68561908865,226662.70166455235,346473.0759535617
2009-12-31,415809.3505,384887.6566595725,324410.35140810814,445041.9332291577
2010-01-31,336526.6805,383087.9955653579,316584.8816095765,444915.96475951426
2010-02-28,271580.508,311164.04306293855,248653.75175373117,370190.9117026332
2010-03-31,217808.00650000002,317752.19970826176,260193.46089469155,378270.8565564106
2010-04-30,266968.589,317948.55884334166,260605.05981645396,375024.77151501196
2010-05-31,283534.285,290740.89218052477,225930.0175875383,346554.88656172564
2010-06-30,293080.665,261206.32236193557,201026.72334461688,319113.13444566546
2010-07-31,229885.4985,295169.4340983766,231476.09558097902,356887.37580464594
2010-08-31,207937.009,276629.285304569,220380.60346184147,342567.01729318936
2010-09-30,418343.2785,338870.71093598625,278631.7946687468,399773.5801794377
2010-10-31,365251.985,344037.2918347956,287213.4650299439,409736.6340581697
2010-11-30,290670.3455,315452.4723633704,253279.9603389581,378320.088762298
2010-12-31,368093.954,368901.7989332966,312874.601183327,430564.88231382245
2011-01-31,251467.228,338705.03935421293,275264.7632758906,394393.96642274834
2011-02-28,299890.141,324934.05999803095,266277.529867852,383233.7105677473
2011-03-31,296035.871,297407.03977068,240423.8156144337,353783.83704490826
2011-04-30,288213.397,326311.00670326175,266947.06354326726,392305.45627523365
2011-05-31,262628.496,272187.8136007958,213676.82338560137,331782.8422092293
2011-06-30,197740.8455,249291.01763441294,184750.7306967867,310001.32832749793
2011-07-31,287905.1865,295550.7560547747,237028.20682562405,350512.0380015359
2011-08-31,274578.4795,253161.76988208413,194594.6496269009,314371.8803397027
2011-09-30,276049.796,328970.56207116676,267420.52554834826,386993.15327807324
2011-10-31,305660.451,322480.3800763883,262446.6076783342,384879.967287291
2011-11-30,367769.496,345790.48766527756,285597.36180694756,399802.2706424516
2011-12-31,328877.3145,352272.99359831924,293410.6003799023,411266.69829626335
2012-01-31,340626.507,294745.61142040335,226728.83985165093,353025.13575820863
2012-02-29,276132.499,245869.61652013395,186965.50707129866,307224.08290994266
2012-03-31,348208.325,319841.8405197185,259210.35598854677,379320.3524498126
2012-04-30,268024.97,262443.4758530369,204066.02917403128,324769.016291576
2012-05-31,384588.0615,288529.69913718326,228132.466533663,352396.5139879371
2012-06-30,276580.9355,246955.35260983033,189830.63761072457,311366.68360403046
2012-07-31,242809.6995,255550.16167664825,191989.74566112467,316499.8905751912
2012-08-31,302745.1235,284915.2328757804,224960.8320550474,341499.75325493637
2012-09-30,318271.5665,320945.1964448353,258410.84864672678,378395.88352438126
2012-10-31,351246.7325,350658.9425231512,287988.3891221758,412205.34925343987
2012-11-30,256020.104,216504.66182625276,161425.5996451907,281613.3960368409
2012-12-31,354709.338,361199.9717116375,304187.84089484543,418201.9475808869
2013-01-31,,388920.6131393047,330693.99468628084,448905.6446590745
2013-02-28,,259205.72348657195,201104.45815570097,319247.67812004284
2013-03-31,,299671.1543036683,234728.74959046475,359690.56063486345
2013-04-30,,271130.8824722944,209223.0041980215,331689.2876908096
2013-05-31,,270699.41002611,213913.27425497686,331149.3146591811
2013-06-30,,234966.92397946256,174494.83580651696,294006.5832738968
2013-07-31,,256401.90278122536,200682.2173477363,321373.62397311
2013-08-31,,261815.69271033382,199395.4524056236,320864.4325906507
2013-09-30,,310820.01522379357,248100.55404521248,370662.6299321968
2013-10-31,,328079.77260629367,266139.89857639116,387985.2660585224
2013-11-30,,247010.40951900696,187976.7346816195,303082.0873619929
2013-12-31,,346559.790770169,285124.100958967,410172.6973171292
